ACTION,AS_units,AS_COMPLETION,ROW_COMPLETION,skip,checked_for_duplicates,row_number,Source,Source DOI,author,author_doi,data_location,sample,notes,notes1,notes2,treatment_OLD,treatment,treatment_NOTES,treatment_level,latitude,longitude,lat_lon_notes,location,elevation_m,lyrtop_cm,lyrbot_cm,horizon,soil_type,ecosystem,wetland_type,aridity,plant_species,MAP(mm),MAT(°),Duration (year),year_sampled,fraction_scheme,aggregate_size_OLD,aggregate_size,amino_sugars,AS_units,gluN,gluN_units,murA,murA_units,galN,galN_units,manN,manN_units,microbial_necromass_C,MNC_units,fungal_necromass_C,FNC_units,bacterial_necromass_C,BNC_units,bacterial_biomass_C,bbc_units,fungal_biomass_C,fbc_units,microbial_biomass_C,MBC-units,microbial_biomass_N,MBN-units,soc,SOC_units,soil_C,TC_units,soil_N,TN_units,soil C/N,pH,pH_method,clay,silt,sand,texture,bulk_density,Method,other_variables_available
checked?,,,,,,2,,,,,,,,,,check,,,check,,,,,,,,,,checked,checked,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GET UNITS,,GET UNITS,,GET UNITS,CHECK UNITS,,CHECK UNITS,,,,,,,,,,,
,,,,,Y,2,,,,,,,,,,,,,,,,,,m,cm,cm,,,,,,,,,,,bulk vs. aggregate,,,,,ug/g = mg/kg,,,,,,,,mg/kg,,mg/kg,,mg/kg,,,ug/g,,ug/g,mg/kg soil,,mg/kg soil,,,,mg/g = g/kg,,mg/g = g/kg,,,,,,,,,gcm3,,
,,,,,,3,STUDY,,,,,,,,,EXPERIMENTAL,,,,,,,,,,,,,,,,,,,,,,,,AMINO SUGARS,,,,,,,,,,NECROMASS,,,,,,BIOMASS,,,,,,,,SOIL,,,,,,,,,,,,,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,natural restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,2570,mg/kg,1570,mg/kg,60,mg/kg,900,mg/kg,40,mg/kg,16020,mg/kg,13330,mg/kg,2680,mg/kg,N/A,N/A,N/A,N/A,780,mg/kg,110,mg/kg,34.28,mg/g,N/A,N/A,2.98,mg/g,N/A,6.61,N/A,3.316,51.304,45.38,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,natural restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,3720,mg/kg,2140,mg/kg,90,mg/kg,1440,mg/kg,50,mg/kg,22130,mg/kg,18060,mg/kg,4070,mg/kg,N/A,N/A,N/A,N/A,910,mg/kg,130,mg/kg,37.05,mg/g,N/A,N/A,3,mg/g,N/A,6.77,N/A,3.748,56.61,39.642,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,natural restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,1850,mg/kg,1060,mg/kg,30,mg/kg,720,mg/kg,30,mg/kg,10500,mg/kg,9170,mg/kg,1340,mg/kg,N/A,N/A,N/A,N/A,310,mg/kg,50,mg/kg,32.59,mg/g,N/A,N/A,2.47,mg/g,N/A,6.91,N/A,2.774,48.408,48.818,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,natural restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,4280,mg/kg,2730,mg/kg,90,mg/kg,1400,mg/kg,50,mg/kg,27530,mg/kg,23410,mg/kg,4130,mg/kg,N/A,N/A,N/A,N/A,1110,mg/kg,160,mg/kg,61.54,mg/g,N/A,N/A,4.8,mg/g,N/A,6.51,N/A,3.892,64.72,31.388,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,natural restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,5780,mg/kg,3810,mg/kg,120,mg/kg,1780,mg/kg,60,mg/kg,38130,mg/kg,32760,mg/kg,5370,mg/kg,N/A,N/A,N/A,N/A,1830,mg/kg,270,mg/kg,77.28,mg/g,N/A,N/A,5.68,mg/g,N/A,6.13,N/A,5.696,73.272,21.032,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,natural restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,4420,mg/kg,2870,mg/kg,120,mg/kg,1380,mg/kg,60,mg/kg,29550,mg/kg,24310,mg/kg,5250,mg/kg,N/A,N/A,N/A,N/A,1680,mg/kg,230,mg/kg,67.04,mg/g,N/A,N/A,5.25,mg/g,N/A,6.26,N/A,3.194,55.878,40.928,N/A,,,
,,,,,,,,,Sun et al. 2026,https://doi.org/10.1002/eap.70225,Dryad,,,,,restoration,restoration,,natural restoration,33°45′ N,99°39′ E,N/A,N/A,4000,0,20,N/A,N/A,grassland,N/A,,"Elymus nutans, Poa crymophila, Kobresia humilis",,,,2021,bulk soil,N/A,N/A,5360,mg/kg,3430,mg/kg,120,mg/kg,1750,mg/kg,60,mg/kg,34630,mg/kg,29330,mg/kg,5310,mg/kg,N/A,N/A,N/A,N/A,1490,mg/kg,210,mg/kg,57.25,mg/g,N/A,N/A,4.58,mg/g,N/A,6.19,N/A,3.372,50.834,45.794,N/A,,,
